登番,名前漢字,級,身長,体重,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,出身地,生年月日_変換
1485,加　藤　　峻　二,B1,163,50,3.8,11.2,2,9,98,0,0,0.2,13,7.7,0.21,3.9,20,5.0,0.22,3.8,18,16.7,0.17,3.1,22,22.7,0.18,3.0,14,7.1,0.22,4.3,12,0.0,0.18,4.8,B1,B1,B1,47.0,48.0,2014,2,2013-11-01,2014-04-30,5,0,1,4,3,3,2,0,1,2,9,5,3,1,2,3,4,4,4,1,4,4,6,6,0,0,1,0,3,8,2,0,0,0,5,3,4,埼　玉,1942-01-12
2014,高　塚　　清　一,B1,168,59,5.21,29.6,20,17,125,0,0,0.15,19,68.4,0.12,2.1,23,30.4,0.16,2.6,23,17.4,0.15,2.7,19,36.8,0.12,2.2,20,5.0,0.14,3.0,21,23.8,0.18,3.1,A2,A2,A2,50.0,51.0,2014,2,2013-11-01,2014-04-30,20,8,5,1,1,4,0,4,3,3,6,4,3,1,3,5,8,6,0,6,1,6,3,1,2,0,1,4,4,4,7,1,4,3,6,5,2,静　岡,1947-03-07
2223,山　下　　恭　文,B1,157,48,3.59,10.5,3,8,104,0,0,0.22,17,35.3,0.21,3.3,19,10.5,0.19,3.9,18,5.6,0.24,4.3,20,10.0,0.2,4.2,18,0.0,0.25,4.3,12,0.0,0.22,4.4,B1,B1,B1,44.0,44.0,2014,2,2013-11-01,2014-04-30,26,2,4,4,2,2,3,0,2,5,7,3,2,0,1,3,8,1,5,1,1,2,3,9,4,0,0,2,4,6,6,0,0,2,0,3,7,佐　賀,1944-11-10
2273,原　田　　順　一,B1,170,56,4.89,28.8,12,14,90,1,0,0.21,13,69.2,0.23,3.7,21,23.8,0.2,4.2,23,26.1,0.22,3.9,17,23.5,0.2,4.0,12,16.7,0.23,4.8,5,0.0,0.22,5.0,B1,B1,B1,49.0,50.0,2014,2,2013-11-01,2014-04-30,26,6,3,1,1,1,1,2,3,5,2,6,3,1,5,3,5,7,1,3,1,3,1,5,4,0,2,2,2,4,2,0,0,1,1,1,2,福　岡,1949-11-22
2276,古　谷　　　　猛,B1,165,50,5.03,36.1,15,24,108,1,0,0.18,19,57.9,0.16,2.8,22,27.3,0.17,3.3,17,29.4,0.19,3.3,15,66.7,0.21,3.4,20,25.0,0.17,2.8,15,13.3,0.22,3.7,B1,B1,B1,47.0,48.0,2014,2,2013-11-01,2014-04-30,26,4,7,3,2,2,1,2,4,4,3,5,4,2,3,3,1,2,6,5,5,2,2,0,1,2,3,2,3,3,7,0,2,2,1,2,8,岡　山,1950-01-31
2377,倉　尾　　良　一,B1,159,53,5.2,35.5,12,9,59,2,0,0.18,9,55.6,0.19,2.7,9,66.7,0.13,2.1,12,16.7,0.19,3.7,15,26.7,0.24,4.2,9,44.4,0.13,2.9,5,0.0,0.19,2.4,B1,B1,A2,49.0,49.0,2014,2,2013-11-01,2014-04-30,28,4,1,2,0,1,1,4,2,2,1,0,0,1,1,1,1,1,7,1,3,1,4,2,4,2,2,2,0,1,2,0,0,0,3,1,1,福　岡,1950-05-30
2380,関　　　　忠　志,B1,168,51,4.83,25.9,11,16,104,0,0,0.16,37,37.8,0.14,2.4,59,16.9,0.17,3.3,7,28.6,0.21,2.7,0,0.0,0.0,0.0,1,100.0,0.26,5.0,0,0.0,0.0,0.0,B1,B1,B1,49.0,49.0,2014,2,2013-11-01,2014-04-30,28,8,6,5,8,3,7,2,8,14,13,10,12,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,岡　山,1950-11-18
2504,國　浦　　英　徳,B1,153,52,4.86,23.6,7,10,72,0,0,0.19,22,22.7,0.2,3.9,36,16.7,0.2,4.0,7,42.9,0.14,2.6,3,100.0,0.18,3.7,3,0.0,0.17,2.7,1,0.0,0.32,5.0,B1,B1,B1,44.0,49.0,2014,2,2013-11-01,2014-04-30,31,2,3,7,4,5,1,1,5,9,6,10,5,1,2,1,2,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,鹿児島,1951-01-17
2505,小　泉　　秀　人,B1,165,50,3.97,13.5,3,11,103,0,0,0.21,14,14.3,0.19,3.9,30,23.3,0.2,3.9,29,6.9,0.22,4.2,20,10.0,0.22,4.2,9,11.1,0.2,4.2,1,0.0,0.22,5.0,B1,B1,B1,46.0,47.0,2014,2,2013-11-01,2014-04-30,31,1,1,2,5,3,2,2,5,2,7,10,4,0,2,4,13,7,3,0,2,4,8,4,2,0,1,1,3,2,2,0,0,0,1,0,0,長　崎,1951-02-25
2528,新　井　　敏　司,A2,163,54,5.66,39.3,15,24,99,1,0,0.17,16,62.5,0.18,2.8,16,68.8,0.15,2.9,18,27.8,0.16,3.1,23,39.1,0.18,3.1,19,15.8,0.17,3.2,8,12.5,0.17,3.6,B1,B1,B1,50.0,50.0,2014,2,2013-11-01,2014-04-30,32,7,3,2,1,0,3,2,9,3,1,0,0,2,3,4,4,4,1,4,5,5,2,4,3,0,3,5,2,3,5,0,1,4,0,2,1,栃　木,1948-03-07
2538,高　橋　　二　朗,B1,165,54,4.83,31.5,9,15,76,0,0,0.22,11,63.6,0.23,3.8,17,47.1,0.24,4.4,18,11.1,0.23,3.4,11,18.2,0.18,3.5,12,33.3,0.21,3.7,7,14.3,0.22,4.4,B1,B1,B1,48.0,47.0,2014,2,2013-11-01,2014-04-30,32,4,3,0,1,2,1,2,6,3,1,3,2,0,2,4,5,5,2,0,2,2,4,2,1,2,2,0,2,2,2,1,0,1,1,1,3,千　葉,1949-04-26
2568,中　村　　義　雄,B1,153,52,4.31,17.6,5,10,85,1,0,0.19,13,46.2,0.19,2.8,24,20.8,0.17,2.7,12,16.7,0.24,4.3,14,14.3,0.18,3.2,16,0.0,0.19,3.8,6,0.0,0.24,4.8,B1,B1,B1,47.0,47.0,2014,2,2013-11-01,2014-04-30,33,1,5,2,4,1,0,2,3,10,3,4,2,1,1,0,4,3,3,1,1,0,4,5,2,0,0,5,1,7,3,0,0,1,2,1,2,長　崎,1949-08-05
2585,原　　　　由樹夫,B1,161,52,4.96,31.0,17,20,119,0,0,0.2,24,58.3,0.17,2.8,54,25.9,0.2,3.7,28,25.0,0.2,3.8,11,9.1,0.25,5.1,2,50.0,0.26,3.5,0,0.0,0.0,0.0,B1,A2,B1,48.0,48.0,2014,2,2013-11-01,2014-04-30,33,11,3,3,3,1,2,4,10,13,9,12,6,2,5,2,8,5,6,0,1,0,1,5,4,0,1,0,1,0,0,0,0,0,0,0,0,岡　山,1952-11-21
2596,館　野　　友　良,B1,157,55,4.51,22.8,11,10,92,0,0,0.19,15,33.3,0.21,3.3,30,23.3,0.18,3.8,20,25.0,0.18,2.9,16,12.5,0.19,3.1,10,10.0,0.22,4.0,1,100.0,0.2,2.0,B1,B1,B1,43.0,47.0,2014,2,2013-11-01,2014-04-30,34,3,2,3,5,1,1,4,3,5,7,6,4,1,4,4,3,5,3,1,1,3,2,5,4,1,0,1,1,4,3,1,0,0,0,0,0,栃　木,1948-02-10
2698,角　川　　政　志,B1,160,52,4.33,15.6,4,11,96,0,0,0.2,18,16.7,0.22,3.7,46,17.4,0.18,3.8,20,15.0,0.2,4.1,5,0.0,0.27,4.4,4,25.0,0.23,4.5,3,0.0,0.2,5.0,B1,B1,B1,49.0,47.0,2014,2,2013-11-01,2014-04-30,36,0,3,7,3,3,1,3,5,12,11,11,4,0,3,4,5,6,2,0,0,1,1,2,1,1,0,0,1,1,1,0,0,0,0,2,1,愛　媛,1954-01-09
